Count of Crm Cd,Column Labels,,,,,,,,,,,
Row Labels,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",BURGLARY,"MANSLAUGHTER, NEGLIGENT","RAPE, ATTEMPTED","RAPE, FORCIBLE",ROBBERY,THEFT FROM MOTOR VEHICLE - ATTEMPT,THEFT FROM MOTOR VEHICLE - GRAND ($400 AND OVER),THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),THEFT FROM PERSON - ATTEMPT,"THEFT, PERSON",Grand Total
6037232300,40,15,,,5,46,,5,13,1,12,137
6037232400,33,15,,1,3,28,,4,17,,8,109
6037232500,18,14,,,1,28,,2,13,,5,81
6037232600,22,19,,,,21,,4,19,,3,88
6037232700,19,6,,,2,11,,4,8,,1,51
6037232800,86,37,,1,9,78,,8,48,,12,279
6037234000,30,14,,1,3,28,,4,20,,3,103
6037234200,26,30,,,1,16,,4,9,,1,87
6037234300,2,10,,,,5,,7,7,,,31
6037234502,48,43,,1,2,32,,4,30,,6,166
6037234600,16,10,,,2,15,,3,10,,1,57
6037234700,25,10,,,1,15,,5,3,,1,60
6037234901,5,5,,,,1,,1,,,,12
6037234902,29,22,,,4,30,,1,7,,8,101
6037235100,1,4,,,,1,,2,1,,,9
6037235201,5,4,,,,,,,2,,,11
6037235202,32,13,,1,1,39,2,7,9,,8,112
6037236000,7,9,,,,6,,1,4,,,27
6037236100,31,27,,,3,37,,3,17,,7,125
6037236202,3,7,,,1,5,,3,2,,1,22
6037236203,27,32,,1,1,32,,1,16,,4,114
6037236204,94,61,,1,7,79,,9,37,,11,299
6037236400,48,58,,,7,24,2,13,40,,4,196
6037237201,37,7,,1,3,31,,6,20,1,19,125
6037237202,104,29,,1,6,76,1,13,48,,17,295
6037237300,17,9,,,,9,,4,2,,,41
6037237402,26,13,,,3,37,,5,17,1,5,107
6037237500,10,4,,,2,7,,,2,,1,26
6037237600,29,9,,,1,43,,3,21,,19,125
6037237710,8,2,,,,5,,1,9,,3,28
6037237800,48,18,,,2,25,,4,26,,4,127
6037237900,38,28,,1,6,34,1,18,21,,6,153
6037238100,15,12,,,1,13,,1,9,,3,54
6037238200,16,17,,,2,6,,8,17,,,66
6037238310,18,8,,,3,18,,1,8,,8,64
6037238320,21,19,,1,1,8,,4,23,,3,80
6037238400,79,26,,1,8,43,1,11,15,,5,189
6037239201,54,26,,,7,52,1,4,26,,7,177
6037239202,22,20,,2,1,34,1,7,29,1,3,120
6037239310,72,28,,,9,43,1,5,30,,8,196
6037239320,29,7,,1,1,18,,3,16,,4,79
6037239330,15,10,,,,16,,4,15,,4,64
6037239501,3,,,1,,3,,,2,,,9
6037239601,29,23,,1,2,37,,3,28,,4,127
6037239602,32,17,,,5,48,,6,25,,9,142
6037239701,34,23,,1,1,63,,1,17,1,12,153
6037239702,54,26,,,5,42,1,3,37,,9,177
6037239801,11,4,,,,14,,,7,,1,37
6037239802,27,10,,,2,13,,2,8,,1,63
6037240010,11,6,,,1,16,,,6,,2,42
6037240020,22,12,,,,21,,,5,,,60
6037240200,85,45,,2,3,53,,6,30,,11,235
6037240300,71,33,,,7,64,,7,40,,10,232
6037240401,9,5,,,1,8,,,6,1,3,33
6037240500,29,11,,,2,25,1,1,2,,2,73
6037240600,44,35,,,2,30,,1,25,,4,141
6037240700,10,12,,,3,11,,1,8,,2,47
6037240800,21,25,,,2,24,,2,11,,4,89
6037240900,5,2,,,1,3,,1,2,,1,15
6037241001,3,7,,,,4,,1,3,,,18
6037241002,1,2,,,,1,,,2,,,6
6037241110,37,27,,,2,55,,2,21,,8,152
6037241120,38,39,,,4,32,1,1,34,,8,157
6037241201,39,21,,,7,26,,3,16,,10,122
6037241202,27,14,,,5,23,,4,16,,11,100
6037241300,,,,,,3,,,4,,,7
6037241400,48,27,,,7,40,,3,23,,12,160
6037242600,16,12,,,1,10,,,11,,1,51
6037242700,16,12,,,2,9,,1,6,,1,47
6037243000,18,6,,,,7,,,2,,1,34
6037243100,24,12,,,1,17,,1,7,,3,65
6037261101,,12,,,,,,1,5,,,18
6037261102,2,6,,,1,,,1,,,,10
6037261200,3,11,,,,1,,1,2,,,18
6037262100,,2,,,,,,1,2,,,5
6037262200,2,3,,,,,,,3,,,8
6037262301,,,,,,,,,1,,,1
6037262302,,9,,,1,,,2,4,,,16
6037262303,,6,,,,,,4,9,,,19
6037262400,,3,,,,,,,1,,,4
6037262501,1,13,,,,2,,4,6,,,26
6037262601,,2,,,,,,,4,,,6
6037262604,,4,,,1,2,,2,7,,,16
6037262704,2,23,,,,4,,7,7,,,43
6037262706,2,24,,,1,,,5,9,,,41
6037262802,2,13,,,1,1,,1,4,,,22
6037264000,,5,,,,1,,7,1,,,14
6037264102,,7,,,,,,1,1,,,9
6037264103,,3,,,,,,,,,,3
6037264302,,7,,,,,,1,6,,,14
6037265100,,3,,,,,,1,,,,4
6037265201,,4,,,,1,,1,,1,,7
6037265202,,,,,,,,,1,,,1
6037265301,,4,,,,1,,,1,,,6
6037265304,1,,,,,,,,1,,,2
6037265305,,,,,,1,,,,,,1
6037265410,1,11,,,,,,4,5,,2,23
6037265420,4,49,,,5,1,,6,14,,1,80
6037265510,,4,,,,4,,,2,,2,12
6037265520,1,3,,,,1,,1,2,,1,9
6037265602,3,17,,1,5,9,1,13,13,,1,63
6037265700,1,12,,,1,,,4,11,,,29
6037267100,1,14,,,2,4,,3,10,,,34
6037267200,3,8,,,1,5,,6,12,,1,36
6037267300,2,18,,,,2,,7,10,,1,40
6037267402,,,,,,,,1,,,,1
6037267404,1,5,,,,,,3,,,,9
6037267501,,9,,,,,,,,,,9
6037267502,2,14,,,1,3,,6,18,,,44
6037267600,6,11,,,5,4,,5,11,,2,44
6037267700,10,26,,,1,13,,13,26,,1,90
6037267800,1,23,,,1,4,,4,16,,1,50
6037267901,1,10,,1,,3,,10,3,,1,29
6037267902,1,23,,,1,5,2,19,17,,,68
6037269300,2,22,,,,1,2,11,15,,,53
6037269500,,5,,,,,,,4,,,9
6037269601,1,3,,,,,,,,,,4
6037269602,2,14,,,,1,,5,10,,1,33
6037269700,5,12,,,,2,,4,7,,,30
6037269800,,10,,,,,,3,1,,,14
6037269907,,6,,,,,,1,6,,,13
6037270100,8,21,,,1,7,3,9,24,,,73
6037270200,8,71,,,1,24,,4,14,,2,124
6037270300,27,72,,,7,22,,12,25,,5,170
6037271100,1,29,,,,11,,5,10,,2,58
6037271200,10,28,,,,14,,4,13,,1,70
6037271300,6,30,,,,6,,8,9,,3,62
6037271500,1,9,,,,,1,1,4,,,16
6037271600,,14,,,,2,,4,1,,,21
6037271701,6,19,,1,,1,,2,7,,,36
6037271702,7,25,,,1,10,,4,16,,2,65
6037271801,,2,,,,1,,1,1,,,5
6037271802,7,31,,,2,16,3,20,42,,3,124
6037271901,1,7,,,1,,,2,5,,,16
6037271902,1,7,,,,1,,5,6,,,20
6037272100,,7,,,1,,,2,5,,,15
6037272201,2,4,,,,1,,,,,,7
6037272202,,1,,,,,,,2,,,3
6037272301,,4,,,1,,,2,1,,,8
6037272302,5,16,,1,,2,,1,4,,1,30
6037273402,1,,,,,,,,1,,,2
6037273502,4,2,,,,1,,1,,,,8
6037273600,11,8,,,2,3,,,8,,1,33
6037273700,1,21,,,,1,,2,5,,,30
6037273800,8,30,,,1,6,,1,5,,3,54
6037273902,57,78,,,6,39,1,17,26,,6,230
6037274100,6,35,,,2,13,,7,12,1,3,79
6037274202,12,3,,,,2,,1,1,,,19
6037275302,2,11,,,,3,,2,5,,,23
6037275311,1,1,,,,,,,1,,,3
6037275400,20,35,,,2,9,1,13,19,,1,100
6037275500,5,17,,,1,,,2,11,,,36
6037275602,5,19,,,,6,,4,3,,,37
6037275603,33,52,,1,1,6,,2,11,,1,107
6037276000,2,6,,,,7,,2,7,,,24
6037276100,,11,,,2,2,,,3,,,18
6037276500,3,15,,,2,2,,2,14,,,38
6037276601,1,3,,,,,,,2,,,6
6037276603,,10,,,,1,,3,9,,,23
6037276604,11,40,,,1,13,,9,33,,1,108
6037277000,5,37,,,1,,1,12,13,,1,70
6037277100,4,24,,,1,1,,2,11,,,43
6037277200,8,30,,,2,11,,16,19,,1,87
6037277400,8,15,,1,1,2,,8,18,,,53
6037278001,4,28,,,1,16,,11,22,,1,83
6037278102,3,28,,,4,4,1,4,10,,,54
6037291110,7,6,,,,6,,3,1,,,23
6037291120,14,26,,,3,19,,4,6,,2,74
6037291130,,3,,,,2,,1,,,,6
