Count of Crm Cd,Column Labels,,,,,,,,,,,
Row Labels,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",BURGLARY,"MANSLAUGHTER, NEGLIGENT","RAPE, ATTEMPTED","RAPE, FORCIBLE",ROBBERY,THEFT FROM MOTOR VEHICLE - ATTEMPT,THEFT FROM MOTOR VEHICLE - GRAND ($400 AND OVER),THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),THEFT FROM PERSON - ATTEMPT,"THEFT, PERSON",Grand Total
6037702600,1,3,,,,,,,2,,,6
6037702700,,4,,1,,1,,,1,,,7
6037702801,5,12,,,1,7,,3,14,,1,43
6037702802,13,28,,,3,10,1,6,24,,1,86
6037702803,20,86,,,4,16,1,21,45,,5,198
6037702901,6,28,,,,8,1,11,17,,2,73
6037703002,,3,,,1,1,,1,,,,6
6037703100,7,26,,,,11,,4,4,,,52
6037703200,59,30,,,4,74,,4,16,,16,203
6037980001,8,26,,,,3,,3,9,,,49
6037980008,7,30,,,2,7,,7,25,,,78
6037980009,2,1,,,1,1,,6,10,,,21
6037980010,13,7,,,1,10,,4,13,,1,49
6037980014,15,15,,,1,3,,3,12,,1,50
6037980015,4,6,,,,5,,,4,,,19
6037980020,,,,,,,,1,,,,1
6037980021,8,14,,,2,2,,1,5,,1,33
6037980022,3,7,,,2,2,,9,11,,,34
6037980023,1,,,,,,1,1,3,,,6
6037980024,6,22,,1,1,5,1,5,12,,,53
6037980026,,1,,,,,,1,,,,2
6037980028,3,3,,,,1,,1,6,,3,17
6037980031,1,3,,,,,,1,,,,5
Grand Total,10761,14374,1,121,1218,9072,173,3458,10545,29,1557,51309
