"","Row Labels","Count of PARK_NAME","ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT","BURGLARY","MANSLAUGHTER, NEGLIGENT","RAPE, ATTEMPTED","RAPE, FORCIBLE","ROBBERY","THEFT FROM MOTOR VEHICLE - ATTEMPT","THEFT FROM MOTOR VEHICLE - GRAND ($400 AND OVER)","THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER)","THEFT FROM PERSON - ATTEMPT","THEFT, PERSON","Grand Total","Total population","Median Income","Pools","Gym","Restroom"
"110",6037141102,1,3,23,0,0,0,2,0,9,17,0,1,55,3037,"90685",0,0,0
"111",6037141400,3,6,63,0,1,1,12,0,4,14,0,1,102,4636,"78594",0,0,1
"112",6037141500,1,1,30,0,0,1,0,0,3,4,0,0,39,2985,"180833",0,0,0
"113",6037141600,2,0,27,0,0,0,3,0,2,9,0,0,41,4076,"160455",0,0,0
"114",6037141700,9,3,22,0,0,1,2,0,8,8,0,1,45,3058,"182625",0,0,0
"115",6037143300,1,8,29,0,0,1,6,1,11,36,0,0,92,6824,"71429",0,0,1
"116",6037143500,1,4,66,0,1,1,7,0,22,40,0,1,142,4728,"78558",0,0,0
"117",6037143602,1,4,24,0,0,0,5,0,10,12,0,0,55,4592,"74700",0,0,0
"118",6037143604,6,12,33,0,0,2,4,0,17,27,0,2,97,3405,"64933",0,0,2
"119",6037143700,4,3,37,0,0,3,10,0,1,6,0,1,61,3719,"107625",0,0,0
"120",6037143800,2,8,57,0,0,2,18,0,22,27,0,3,137,5732,"145804",0,0,0
"121",6037143901,4,3,14,0,0,0,0,1,4,13,0,1,36,4239,"151917",0,0,0
"122",6037143902,5,4,30,0,0,0,2,0,8,10,0,0,54,3136,"116808",0,0,0
"123",6037181500,1,1,14,0,0,0,1,1,2,9,0,1,29,3799,"91375",0,1,1
"124",6037181600,1,7,24,0,0,0,1,0,1,6,0,0,39,4633,"68516",0,0,0
"125",6037183104,2,7,3,0,0,0,1,0,6,6,0,0,23,2298,"62917",0,0,0
"126",6037183222,1,10,26,0,0,1,7,0,6,14,0,0,64,3469,"53750",0,0,0
"127",6037183402,1,2,11,0,0,0,2,0,5,2,0,1,23,3069,"57813",1,1,0
"128",6037183620,1,11,12,0,0,0,5,0,3,18,0,1,50,3432,"46544",0,0,1
